ReportTitle
Kleine Hochschulstatistik im WiSe 2022/23

Standort,Textbox24,StudDeutschW3,StudDeutsch1HS,StudAusland1HSW,StudDeutsch1FS,StudDeutsch1FSW,StudAusland,StudAuslandW,StudAusland1HSW1,StudAusland1HSW5,StudAusland1FS,StudDeutsch1FSW2,Stud1HS,Stud1FS,Textbox176,Organisation1,Textbox28,Textbox42,StudDeutsch1HS1,Textbox63,Textbox72,Textbox81,Textbox89,Textbox114,Textbox131,StudAusland1HSW4,Textbox156,StudDeutsch1FSW3,Textbox163,Textbox170,Textbox177,Studiengang1,StudDeutsch1,Textbox43,Textbox57,Textbox64,Textbox73,Textbox83,Textbox90,Textbox115,Textbox132,StudAusland1HSW3,Textbox157,StudDeutsch1FSW1,Textbox164,Textbox171,Textbox178,Textbox19,Textbox44,Textbox58,Textbox65,Textbox74,Textbox84,Textbox102,Textbox116,Textbox133,StudAusland1HSW2,Textbox158,StudAusland1FSW1,Textbox165,Textbox172,Textbox179
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Aircraft and Flight Engineering,36,4,9,1,9,1,8,2,2,0,4,1,11,13,44,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Angewandte Werkstoffwissenschaften,54,18,0,0,1,1,6,2,0,0,2,0,0,3,60,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Berufliche Bildung - Teilstudiengang Elektrotechnik,12,2,5,0,5,0,0,0,0,0,0,0,5,5,12,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Berufliche Bildung - Teilstudiengang Fahrzeugtechnik,9,1,4,0,9,1,0,0,0,0,0,0,4,9,9,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Berufliche Bildung - Teilstudiengang Metalltechnik,45,5,10,1,13,1,0,0,0,0,0,0,10,13,45,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Dentaltechnologie,34,29,5,4,6,5,18,11,1,1,4,3,6,10,52,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Elektrotechnik (Bachelor),270,12,53,2,61,3,18,1,1,0,0,0,54,61,288,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Elektrotechnik (Master),52,8,0,0,9,1,7,2,1,1,2,1,1,11,59,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Elektrotechnik im Praxisverbund,39,7,0,0,0,0,1,0,0,0,0,0,0,0,40,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,"  Energie-, Umwelt- und Verfahrenstechnik",101,18,21,4,28,7,6,2,0,0,0,0,21,28,107,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Entwicklung und Produktion,76,5,0,0,19,2,1,0,0,0,0,0,0,19,77,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Fahrzeugtechnik (Bachelor),222,10,38,3,40,3,17,1,3,0,4,0,41,44,239,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Fahrzeugtechnik (Master),48,3,0,0,13,0,4,0,1,0,1,0,1,14,52,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Industrial Design,110,54,15,7,18,7,9,4,0,0,1,1,15,19,119,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Informatik - Medieninformatik,322,48,54,13,72,16,50,9,7,3,8,3,61,80,372,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Informatik - Technische Informatik,129,6,22,0,30,0,13,2,6,0,4,0,28,34,142,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Informatik - Verteilte und Mobile Anwendungen,62,8,0,0,11,1,4,2,1,1,1,0,1,12,66,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Ingenieurwesen - Maschinenbau,65,2,12,1,15,1,2,1,0,0,0,0,12,15,67,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Kunststofftechnik,26,5,2,1,2,1,2,1,2,1,1,0,4,3,28,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Kunststofftechnik im Praxisverbund,23,7,5,1,5,1,2,1,2,1,2,1,7,7,25,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Lehramt an berufsbildenden Schulen - Teilstudiengang Elektrotechnik,5,0,0,0,2,0,0,0,0,0,0,0,0,2,5,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Lehramt an berufsbildenden Schulen - Teilstudiengang Metalltechnik,16,4,0,0,6,3,0,0,0,0,0,0,0,6,16,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Maschinenbau,461,36,85,7,92,7,34,4,16,4,1,0,101,93,495,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Maschinenbau im Praxisverbund,72,17,0,0,0,0,0,0,0,0,0,0,0,0,72,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Mechatronic Systems Engineering,67,4,0,0,23,2,0,0,0,0,0,0,0,23,67,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Mechatronik,81,5,17,1,20,2,10,0,5,0,3,0,22,23,91,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Media & Interaction Design,168,105,26,17,40,26,4,3,2,1,2,1,28,42,172,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Ingenieurwissenschaften und Informatik,2623,428,385,65,553,95,218,49,50,13,40,11,435,593,2841,  Werkstofftechnik,18,5,2,2,4,3,2,1,0,0,0,0,2,4,20,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Wirtschafts- und Sozialwissenschaften,4862,3109,718,489,1018,654,387,258,121,82,80,57,839,1098,5249,  Allgemeine Verwaltung,86,70,19,18,29,25,0,0,0,0,0,0,19,29,86,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Wirtschafts- und Sozialwissenschaften,4862,3109,718,489,1018,654,387,258,121,82,80,57,839,1098,5249,"  Auditing, Finance and Taxation",36,15,0,0,5,1,0,0,0,0,0,0,0,5,36,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Wirtschafts- und Sozialwissenschaften,4862,3109,718,489,1018,654,387,258,121,82,80,57,839,1098,5249,  Betriebliches Informationsmanagement,85,14,13,2,14,2,14,6,2,1,2,1,15,16,99,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Wirtschafts- und Sozialwissenschaften,4862,3109,718,489,1018,654,387,258,121,82,80,57,839,1098,5249,  Betriebswirtschaft (dual) - WiSo,122,61,38,14,47,19,0,0,0,0,0,0,38,47,122,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Wirtschafts- und Sozialwissenschaften,4862,3109,718,489,1018,654,387,258,121,82,80,57,839,1098,5249,  Betriebswirtschaft im Gesundheitswesen,222,154,28,22,39,26,5,2,2,1,2,1,30,41,227,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Wirtschafts- und Sozialwissenschaften,4862,3109,718,489,1018,654,387,258,121,82,80,57,839,1098,5249,  Betriebswirtschaft und Management - WiSo,585,275,113,49,141,58,23,14,3,2,5,3,116,146,608,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Wirtschafts- und Sozialwissenschaften,4862,3109,718,489,1018,654,387,258,121,82,80,57,839,1098,5249,  Business Management,66,32,0,0,27,12,0,0,0,0,0,0,0,27,66,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Wirtschafts- und Sozialwissenschaften,4862,3109,718,489,1018,654,387,258,121,82,80,57,839,1098,5249,  Controlling und Finanzen,65,20,0,0,28,7,1,0,0,0,0,0,0,28,66,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Wirtschafts- und Sozialwissenschaften,4862,3109,718,489,1018,654,387,258,121,82,80,57,839,1098,5249,"  Ergotherapie, Logopädie, Physiotherapie",126,104,39,35,0,0,1,1,0,0,0,0,39,0,127,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Wirtschafts- und Sozialwissenschaften,4862,3109,718,489,1018,654,387,258,121,82,80,57,839,1098,5249,"  Ergotherapie, Physiotherapie (dual)",229,183,40,30,53,36,5,3,0,0,0,0,40,53,234,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Wirtschafts- und Sozialwissenschaften,4862,3109,718,489,1018,654,387,258,121,82,80,57,839,1098,5249,  Gesundheitsmanagement / Health Management,68,28,0,0,0,0,2,1,0,0,0,0,0,0,70,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Wirtschafts- und Sozialwissenschaften,4862,3109,718,489,1018,654,387,258,121,82,80,57,839,1098,5249,  Hebammenwissenschaft,52,51,21,21,31,31,2,2,0,0,0,0,21,31,54,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Wirtschafts- und Sozialwissenschaften,4862,3109,718,489,1018,654,387,258,121,82,80,57,839,1098,5249,  HELPP – Versorgungsforschung und -gestaltung,46,42,0,0,9,8,1,0,0,0,0,0,0,9,47,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Wirtschafts- und Sozialwissenschaften,4862,3109,718,489,1018,654,387,258,121,82,80,57,839,1098,5249,  Hochschul- und Wissenschaftsmanagement,74,60,0,0,0,0,3,2,0,0,0,0,0,0,77,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Wirtschafts- und Sozialwissenschaften,4862,3109,718,489,1018,654,387,258,121,82,80,57,839,1098,5249,  International Business and Management (Master),41,27,0,0,12,10,45,31,13,9,14,11,13,26,86,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
Osnabrück Westerberg,7852,3674,1135,565,1629,768,668,340,178,98,125,69,1313,1754,8520, Fakultät Wirtschafts- und Sozialwissenschaften,4862,3109,718,489,1018,654,387,258,121,82,80,57,839,1098,5249,  International Management,129,87,26,16,32,22,75,48,38,25,14,8,64,46,204,12584,5693,2000,931,2913,1332,773,387,201,108,151,83,2201,3064,13357
