ReportTitle
Kleine Hochschulstatistik im WiSe 2023/24

Standort,Textbox24,StudDeutschW3,StudDeutsch1HS,StudAusland1HSW,StudDeutsch1FS,StudDeutsch1FSW,StudAusland,StudAuslandW,StudAusland1HSW1,StudAusland1HSW5,StudAusland1FS,StudDeutsch1FSW2,Stud1HS,Stud1FS,Textbox176,Organisation1,Textbox28,Textbox42,StudDeutsch1HS1,Textbox63,Textbox72,Textbox81,Textbox89,Textbox114,Textbox131,StudAusland1HSW4,Textbox156,StudDeutsch1FSW3,Textbox163,Textbox170,Textbox177,Studiengang1,StudDeutsch1,Textbox43,Textbox57,Textbox64,Textbox73,Textbox83,Textbox90,Textbox115,Textbox132,StudAusland1HSW3,Textbox157,StudDeutsch1FSW1,Textbox164,Textbox171,Textbox178,Textbox19,Textbox44,Textbox58,Textbox65,Textbox74,Textbox84,Textbox102,Textbox116,Textbox133,StudAusland1HSW2,Textbox158,StudAusland1FSW1,Textbox165,Textbox172,Textbox179
Osnabrück Westerberg,7585,3681,983,533,1470,733,721,360,201,103,141,59,1184,1611,8306, Fakultät Ingenieurwissenschaften und Informatik,2355,425,297,77,469,99,235,53,58,16,45,10,355,514,2590,  Aircraft and Flight Engineering,26,1,7,0,10,0,10,3,3,1,3,1,10,13,36,12084,5584,1845,879,2693,1237,822,404,231,114,171,74,2076,2864,12906
Osnabrück Westerberg,7585,3681,983,533,1470,733,721,360,201,103,141,59,1184,1611,8306, Fakultät Ingenieurwissenschaften und Informatik,2355,425,297,77,469,99,235,53,58,16,45,10,355,514,2590,  Angewandte Werkstoffwissenschaften,48,13,0,0,13,3,6,2,0,0,2,0,0,15,54,12084,5584,1845,879,2693,1237,822,404,231,114,171,74,2076,2864,12906
Osnabrück Westerberg,7585,3681,983,533,1470,733,721,360,201,103,141,59,1184,1611,8306, Fakultät Ingenieurwissenschaften und Informatik,2355,425,297,77,469,99,235,53,58,16,45,10,355,514,2590,  Berufliche Bildung - Teilstudiengang Elektrotechnik,12,2,3,0,4,0,2,0,1,0,2,0,4,6,14,12084,5584,1845,879,2693,1237,822,404,231,114,171,74,2076,2864,12906
Osnabrück Westerberg,7585,3681,983,533,1470,733,721,360,201,103,141,59,1184,1611,8306, Fakultät Ingenieurwissenschaften und Informatik,2355,425,297,77,469,99,235,53,58,16,45,10,355,514,2590,  Berufliche Bildung - Teilstudiengang Fahrzeugtechnik,10,1,2,0,2,0,0,0,0,0,0,0,2,2,10,12084,5584,1845,879,2693,1237,822,404,231,114,171,74,2076,2864,12906
Osnabrück Westerberg,7585,3681,983,533,1470,733,721,360,201,103,141,59,1184,1611,8306, Fakultät Ingenieurwissenschaften und Informatik,2355,425,297,77,469,99,235,53,58,16,45,10,355,514,2590,  Berufliche Bildung - Teilstudiengang Metalltechnik,33,5,3,0,4,0,0,0,0,0,0,0,3,4,33,12084,5584,1845,879,2693,1237,822,404,231,114,171,74,2076,2864,12906
Osnabrück Westerberg,7585,3681,983,533,1470,733,721,360,201,103,141,59,1184,1611,8306, Fakultät Ingenieurwissenschaften und Informatik,2355,425,297,77,469,99,235,53,58,16,45,10,355,514,2590,  Dentaltechnologie,38,27,12,6,17,10,19,12,4,4,5,4,16,22,57,12084,5584,1845,879,2693,1237,822,404,231,114,171,74,2076,2864,12906
Osnabrück Westerberg,7585,3681,983,533,1470,733,721,360,201,103,141,59,1184,1611,8306, Fakultät Ingenieurwissenschaften und Informatik,2355,425,297,77,469,99,235,53,58,16,45,10,355,514,2590,  Elektrotechnik (Bachelor),228,8,40,0,42,0,18,2,3,0,4,0,43,46,246,12084,5584,1845,879,2693,1237,822,404,231,114,171,74,2076,2864,12906
Osnabrück Westerberg,7585,3681,983,533,1470,733,721,360,201,103,141,59,1184,1611,8306, Fakultät Ingenieurwissenschaften und Informatik,2355,425,297,77,469,99,235,53,58,16,45,10,355,514,2590,  Elektrotechnik (Master),49,8,0,0,11,0,7,2,0,0,0,0,0,11,56,12084,5584,1845,879,2693,1237,822,404,231,114,171,74,2076,2864,12906
Osnabrück Westerberg,7585,3681,983,533,1470,733,721,360,201,103,141,59,1184,1611,8306, Fakultät Ingenieurwissenschaften und Informatik,2355,425,297,77,469,99,235,53,58,16,45,10,355,514,2590,  Elektrotechnik im Praxisverbund,47,10,0,0,0,0,1,0,0,0,0,0,0,0,48,12084,5584,1845,879,2693,1237,822,404,231,114,171,74,2076,2864,12906
Osnabrück Westerberg,7585,3681,983,533,1470,733,721,360,201,103,141,59,1184,1611,8306, Fakultät Ingenieurwissenschaften und Informatik,2355,425,297,77,469,99,235,53,58,16,45,10,355,514,2590,"  Energie-, Umwelt- und Verfahrenstechnik",105,22,23,6,27,9,5,2,1,0,3,0,24,30,110,12084,5584,1845,879,2693,1237,822,404,231,114,171,74,2076,2864,12906
