ReportTitle
Kleine Hochschulstatistik im WiSe 2019/20

Standort,Textbox24,StudDeutschW3,StudDeutsch1HS,StudAusland1HSW,StudDeutsch1FS,StudDeutsch1FSW,StudAusland,StudAuslandW,StudAusland1HSW1,StudAusland1HSW5,StudAusland1FS,StudDeutsch1FSW2,Stud1HS,Stud1FS,Textbox176,Organisation1,Textbox28,Textbox42,StudDeutsch1HS1,Textbox63,Textbox72,Textbox81,Textbox89,Textbox114,Textbox131,StudAusland1HSW4,Textbox156,StudDeutsch1FSW3,Textbox163,Textbox170,Textbox177,Studiengang1,StudDeutsch1,Textbox43,Textbox57,Textbox64,Textbox73,Textbox83,Textbox90,Textbox115,Textbox132,StudAusland1HSW3,Textbox157,StudDeutsch1FSW1,Textbox164,Textbox171,Textbox178,Textbox19,Textbox44,Textbox58,Textbox65,Textbox74,Textbox84,Textbox102,Textbox116,Textbox133,StudAusland1HSW2,Textbox158,StudAusland1FSW1,Textbox165,Textbox172,Textbox179
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Aircraft and Flight Engineering,55,7,12,1,15,2,7,2,0,0,0,0,12,15,62,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Angewandte Werkstoffwissenschaften,79,23,0,0,19,8,1,1,0,0,0,0,0,19,80,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Berufliche Bildung - Teilstudiengang Elektrotechnik,10,2,4,1,5,1,0,0,0,0,0,0,4,5,10,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Berufliche Bildung - Teilstudiengang Metalltechnik,54,8,16,3,18,3,1,0,0,0,0,0,16,18,55,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Dentaltechnologie,44,33,5,3,6,3,15,9,3,3,4,3,8,10,59,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Dentaltechnologie und Metallurgie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Elektrotechnik (Bachelor),290,14,66,3,77,6,18,2,3,0,2,0,69,79,308,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Elektrotechnik (Master),62,4,0,0,15,1,5,1,0,0,0,0,0,15,67,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Elektrotechnik im Praxisverbund,31,8,0,0,0,0,0,0,0,0,0,0,0,0,31,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,"  Energie-, Umwelt- und Verfahrenstechnik",123,23,33,6,38,6,10,3,1,1,0,0,34,38,133,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Entwicklung und Produktion,80,8,0,0,28,4,1,0,0,0,0,0,0,28,81,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Erneuerbare Energien,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Europäisches Informatik-Studium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  European Mechanical Engineering Studies,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Fahrzeugtechnik (Bachelor),255,16,39,3,44,3,12,2,2,1,2,1,41,46,267,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Fahrzeugtechnik (Master),57,1,0,0,12,1,3,0,0,0,1,0,0,13,60,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Fahrzeugtechnik mit Praxissemester,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Industrial Design,144,61,22,9,29,13,9,5,3,2,3,2,25,32,153,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Informatik - Medieninformatik,345,59,53,6,78,10,35,4,8,0,9,1,61,87,380,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Informatik - Technische Informatik,167,12,37,2,51,4,13,3,10,3,8,2,47,59,180,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Informatik - Verteilte und Mobile Anwendungen,61,6,0,0,14,1,4,2,1,1,2,1,1,16,65,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Ingenieurwesen - Maschinenbau,65,3,15,1,23,1,1,0,1,0,1,0,16,24,66,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Kunststofftechnik,37,6,6,1,7,1,0,0,0,0,0,0,6,7,37,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Kunststofftechnik im Praxisverbund,28,6,9,1,10,1,0,0,0,0,0,0,9,10,28,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Lehramt an berufsbildenden Schulen - Teilstudiengang Elektrotechnik,6,0,0,0,1,0,0,0,0,0,0,0,0,1,6,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Lehramt an berufsbildenden Schulen - Teilstudiengang Metalltechnik,15,2,0,0,5,1,0,0,0,0,0,0,0,5,15,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Maschinenbau,567,48,107,6,116,8,47,5,26,2,4,0,133,120,614,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Maschinenbau im Praxisverbund,90,13,0,0,0,0,1,1,0,0,0,0,0,0,91,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Maschinenbau mit Praxissemester,6,0,0,0,0,0,2,0,0,0,0,0,0,0,8,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Mechatronic Systems Engineering,91,4,0,0,25,2,3,1,0,0,0,0,0,25,94,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Mechatronik,111,4,23,0,26,0,10,1,4,0,1,0,27,27,121,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Media & Interaction Design,152,87,37,21,46,22,3,2,0,0,2,1,37,48,155,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Ingenieurwissenschaften und Informatik,3072,463,486,68,712,104,203,45,63,13,39,11,549,751,3275,  Werkstofftechnik,33,5,2,1,4,2,2,1,1,0,0,0,3,4,35,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Wirtschafts- und Sozialwissenschaften,5011,3208,747,498,1025,664,354,230,123,87,64,42,870,1089,5365,"  Auditing, Finance and Taxation",37,8,0,0,0,0,1,1,0,0,0,0,0,0,38,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
Osnabrück Westerberg,8467,3818,1267,584,1797,796,610,302,197,107,113,59,1464,1910,9077, Fakultät Wirtschafts- und Sozialwissenschaften,5011,3208,747,498,1025,664,354,230,123,87,64,42,870,1089,5365,  Betriebliches Informationsmanagement,138,25,30,8,42,10,12,2,3,1,3,1,33,45,150,13579,5907,2312,1016,3294,1424,699,352,223,122,134,71,2535,3428,14278
