ReportTitle
Kleine Hochschulstatistik im WiSe 2021/22

Standort,Textbox24,StudDeutschW3,StudDeutsch1HS,StudAusland1HSW,StudDeutsch1FS,StudDeutsch1FSW,StudAusland,StudAuslandW,StudAusland1HSW1,StudAusland1HSW5,StudAusland1FS,StudDeutsch1FSW2,Stud1HS,Stud1FS,Textbox176,Organisation1,Textbox28,Textbox42,StudDeutsch1HS1,Textbox63,Textbox72,Textbox81,Textbox89,Textbox114,Textbox131,StudAusland1HSW4,Textbox156,StudDeutsch1FSW3,Textbox163,Textbox170,Textbox177,Studiengang1,StudDeutsch1,Textbox43,Textbox57,Textbox64,Textbox73,Textbox83,Textbox90,Textbox115,Textbox132,StudAusland1HSW3,Textbox157,StudDeutsch1FSW1,Textbox164,Textbox171,Textbox178,Textbox19,Textbox44,Textbox58,Textbox65,Textbox74,Textbox84,Textbox102,Textbox116,Textbox133,StudAusland1HSW2,Textbox158,StudAusland1FSW1,Textbox165,Textbox172,Textbox179
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Informatik - Medieninformatik,315,45,39,4,55,7,49,9,4,2,6,2,43,61,364,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Informatik - Technische Informatik,148,10,19,0,27,0,12,3,2,1,0,0,21,27,160,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Informatik - Verteilte und Mobile Anwendungen,77,7,0,0,20,2,6,2,1,0,1,0,1,21,83,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Ingenieurwesen - Maschinenbau,62,3,8,1,10,1,2,1,0,0,0,0,8,10,64,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Kunststofftechnik,33,6,4,2,5,2,0,0,0,0,0,0,4,5,33,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Kunststofftechnik im Praxisverbund,21,6,4,2,4,2,0,0,0,0,0,0,4,4,21,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Lehramt an berufsbildenden Schulen - Teilstudiengang Elektrotechnik,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Lehramt an berufsbildenden Schulen - Teilstudiengang Metalltechnik,14,1,0,0,3,0,0,0,0,0,0,0,0,3,14,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Maschinenbau,507,36,105,6,106,7,40,7,18,4,2,0,123,108,547,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
Osnabrück Westerberg,8011,3673,1089,517,1575,711,653,328,177,100,108,54,1266,1683,8664, Fakultät Ingenieurwissenschaften und Informatik,2756,431,383,59,561,86,229,52,47,11,35,7,430,596,2985,  Maschinenbau im Praxisverbund,79,19,0,0,0,0,1,1,0,0,0,0,0,0,80,12898,5705,1974,891,2869,1270,772,390,209,116,145,72,2183,3014,13670
