ReportTitle
Kleine Hochschulstatistik im WiSe 2020/21

Standort,Textbox24,StudDeutschW3,StudDeutsch1HS,StudAusland1HSW,StudDeutsch1FS,StudDeutsch1FSW,StudAusland,StudAuslandW,StudAusland1HSW1,StudAusland1HSW5,StudAusland1FS,StudDeutsch1FSW2,Stud1HS,Stud1FS,Textbox176,Organisation1,Textbox28,Textbox42,StudDeutsch1HS1,Textbox63,Textbox72,Textbox81,Textbox89,Textbox114,Textbox131,StudAusland1HSW4,Textbox156,StudDeutsch1FSW3,Textbox163,Textbox170,Textbox177,Studiengang1,StudDeutsch1,Textbox43,Textbox57,Textbox64,Textbox73,Textbox83,Textbox90,Textbox115,Textbox132,StudAusland1HSW3,Textbox157,StudDeutsch1FSW1,Textbox164,Textbox171,Textbox178,Textbox19,Textbox44,Textbox58,Textbox65,Textbox74,Textbox84,Textbox102,Textbox116,Textbox133,StudAusland1HSW2,Textbox158,StudAusland1FSW1,Textbox165,Textbox172,Textbox179
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,  Aircraft and Flight Engineering,47,3,13,1,14,1,5,1,2,0,2,0,15,16,52,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,  Angewandte Werkstoffwissenschaften,86,27,0,0,27,7,7,5,0,0,5,3,0,32,93,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,  Berufliche Bildung - Teilstudiengang Elektrotechnik,8,3,4,3,4,3,0,0,0,0,0,0,4,4,8,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,  Berufliche Bildung - Teilstudiengang Metalltechnik,44,6,11,1,14,2,0,0,0,0,0,0,11,14,44,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,  Dentaltechnologie,44,33,12,10,16,13,17,9,6,3,7,4,18,23,61,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,  Dentaltechnologie und Metallurgie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,  Elektrotechnik (Bachelor),257,15,55,2,64,3,21,2,8,0,8,0,63,72,278,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,  Elektrotechnik (Master),70,9,1,1,19,6,7,1,1,0,2,0,2,21,77,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,  Elektrotechnik im Praxisverbund,36,11,0,0,0,0,1,0,0,0,0,0,0,0,37,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,"  Energie-, Umwelt- und Verfahrenstechnik",124,28,24,6,33,8,10,4,2,2,2,2,26,35,134,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,  Entwicklung und Produktion,91,10,0,0,28,1,1,0,0,0,0,0,0,28,92,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,  Erneuerbare Energien,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,  Europäisches Informatik-Studium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,  European Mechanical Engineering Studies,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,  Fahrzeugtechnik (Bachelor),243,15,29,1,34,2,13,2,3,0,4,0,32,38,256,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,  Fahrzeugtechnik (Master),48,1,0,0,16,1,5,0,0,0,2,0,0,18,53,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,  Industrial Design,126,60,19,14,24,15,10,5,3,1,3,1,22,27,136,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,  Informatik - Medieninformatik,343,67,48,15,64,20,47,7,9,3,13,3,57,77,390,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,  Informatik - Technische Informatik,163,11,26,2,36,3,21,3,8,1,10,1,34,46,184,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,  Informatik - Verteilte und Mobile Anwendungen,74,8,0,0,19,3,4,2,0,0,0,0,0,19,78,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
Osnabrück Westerberg,8295,3796,1165,578,1676,753,673,323,183,84,142,67,1348,1818,8968, Fakultät Ingenieurwissenschaften und Informatik,2958,498,422,88,654,130,234,55,54,14,68,17,476,722,3192,  Ingenieurwesen - Maschinenbau,63,3,11,0,16,0,2,1,1,1,1,1,12,17,65,13405,5905,2112,987,3091,1365,779,381,224,105,171,80,2336,3262,14184
